formula,capacity
Na0-1Cu(PO3)3,82.86085635
Na0.33-0.67FePO4,53.77195415
Na1-2CuP2O7,94.54823681
Na0-2Mn(PO3)5,108.1190127
Na0-1Ni(PO3)3,84.12291468
Na1-2Cu(PO3)4,63.0010291
Na0-3Cr2(PS4)3,123.5731383
Na0-4Ni3P4O15,169.6496727
Na1-2V3P2O13,57.17725394
Na0-1V(GeO3)2,85.02801092
Na3-5Bi(P2O7)2,79.78817223
Na0-1MnP2O7,106.409497
Na0-1Cs2MoCl6,44.85913813
Na0-1CoPO4,151.5112537
Na0-4Co3P4O15,169.4567628
Na0-2MnP2O7,195.0185014
Na0-1CoPO4,151.5112537
Na0-1Sn4(PO4)3,34.24042356
Na0-1Ba2(CuO2)3,45.87109797
Na0-1Ti(SiO3)2,120.1729895
Na0-6Mn3(PO4)4,235.5697164
Na1-3V2(PO4)3,117.6106071
Na0-1FeCuS2,129.7824866
Na0-4Fe3P4O15,171.9752046
Na0-1Cu(PO3)3,82.86085635
Na1-2.75Ti2(PO4)3,105.6674187
Na0-8Fe7(PO4)8,160.6557759
Na0-0.67MnPO4,108.1342006
Na0-1Fe(PO3)3,84.88179105
Na0-1Mn3Ag(PO4)3,46.16279477
Na2-2.5MnPCO7,50.11632352
Na2-2.5FePCO7,49.94691128
Na1.25-2MgFe2(PO4)3,43.05333178
Na0-1ZrNb(PO4)3,54.47076489
Na0-1Ca9Mn(PO4)7,24.28925892
Na1-3MnPCO7,192.2027349
Na2-6Fe2C4SO16,183.0305899
Na1-3FePCO7,191.5797091
Na0-2CoH8(SO6)2,145.2264962
Na0-2MnPO4F,249.4468036
Na0-2NiH12(SO7)2,132.3890101
Na0-1Ca9Co(PO4)7,24.20163288
Na0-2LiFe(Si2O5)3,103.6267522
Na1.5-3NiPCO7,142.2367651
Na0-1CaFe2(SiO3)4,55.94217666
Na1-3SnPCO7,156.4321181
Na2-3VBAsO7,84.37711871
Na1-2BiAsCO7,59.04866149
Na0-2MnCSO7,208.5806975
Na2-3VBPO7,97.92592715
Na2-3FeBPO7,96.20234989
Na2-3FeBAsO7,83.09436392
Na0-1Ti3Nb(CuO4)3,41.73853696
Na2-3TlPCO7,62.57161902
Na2-3CuPCO7,93.22397963
Na1-2NdPCO7,77.64003867
Na1-2TiPCO7,107.7113924
Na2-2.5FePCO7,49.94691128
Na4-6Bi2P(CO4)4,60.16677356
Na1-2CePCO7,78.5792516
Na1-3VPCO7,194.9971031
Na2-2.5MnPCO7,50.11632352
Na1-2MnPCO7,104.7350793
Na1-2BiPCO7,65.37900189
Na1-2SbPCO7,83.04876583
Na2-6Bi2C4SO16,120.1863354
Na4-6Bi2As(CO4)4,57.33831157
Na1-3GePCO7,180.7311104
Na2-3MnBPO7,96.51655586
Na2-3BiBPO7,62.07922635
Na1-2NiCSO7,102.7883137
Na4-6Sn2C4SO16,75.34253817
Na4-6Co2P(CO4)4,90.72761762
Na1-2.5MnPCO7,150.3489705
Na0-2FeCSO7,207.847172
Na5-6Sn2P(CO4)4,37.72913833
Na1.5-2.5NiPCO7,98.84444187
Na2-3SiBiCO7,62.3229809
Na2-2.5FePCO7,49.94691128
Na1.5-2.5NiPCO7,98.84444187
Na2-2.5MnPCO7,50.11632352
Na4-6Cr2As(CO4)4,86.33307156
Na3-6Fe2P(CO4)4,137.529166
Na4-6V2C4SO16,93.0736551
Na2-3BiBAsO7,56.34373477
Na4-6B4Sb2SO16,75.204994
Na1-3CrPCO7,194.2518697
Na4-6Cr2P(CO4)4,92.90943385
Na2-3CuBSO7,93.25916304
Na1-2FeAsCO7,89.11469995
Na4-6Cr2C4SO16,92.73403382
Na1-2CoCSO7,102.6938707
Na1-3SnAsCO7,138.6495996
Na2-3SiBSbO7,78.45370588
Na2-3MnBAsO7,83.32867509
Na2-3NiAsCO7,82.06440752
Na2-3MnSiCO7,97.10704344
Na1-3MnAsCO7,166.038029
Na1-2CrCSO7,105.4980635
Na1-3VSiCO7,197.06768
Na1-3CoPCO7,189.4882579
Na1-3SiSbCO7,156.3583157
Na2-3CoSiCO7,95.72145479
Na1-3VAsCO7,168.1192633
Na2-3CrSiCO7,98.15328343
Na5-6Ni2As(CO4)4,42.2549537
Na2-3MnBSO7,96.13875669
Na2-3CuAsCO7,80.86291811
Na2-3CoBAsO7,82.30631955
Na1-2CrAsCO7,90.26993488
Na2-3FeSiCO7,96.78898742
Na5-6Co2As(CO4)4,42.22302815
Na1-2VCSO7,105.9378324
Na1-3CuCSO7,185.7429405
Na2-3SiSnCO7,78.88094294
Na4-6Mn2P(CO4)4,91.97146445
Na2-3SiBiBO7,62.49733155
Na1-3CoAsCO7,164.008394
Na4-6Fe2As(CO4)4,85.27581376
Na0-2Ti3Fe(PO4)6,65.75003781
Na0-2Ti3Cr(PO4)6,66.06192321
Na0-2MnH4(SO5)2,162.8906241
Na4-6Ni2C4SO16,90.63378747
Na0-1V3Fe2CuO12,49.35424584
Na4-6V2P(CO4)4,93.25034345
Na4-6Mn2As(CO4)4,85.52260728
Na4-6Ni2P(CO4)4,90.80132535
Na4-6Cu2C4SO16,89.1705087
Na4-6Bi2B4SO16,60.41820767
Na0-1LiMnPCO7,111.7431076
Na0-1Li2MnPCO7,108.6003195
Na0-3Li3Mn2P2(CO7)2,157.770566
Na0-1Li2FePCO7,108.2026741
Na0-3Li3Fe2P2(CO7)2,157.2110086
Na0-1Li2FePCO7,108.2026741
Na0-1Li5Fe2P2(CO7)2,55.9126824
Na0-3Li3Mn2P2(CO7)2,157.770566
Na0-1Li5Mn2P2(CO7)2,56.12506755
